gaming_time_hr,social_media_time_hr,sleep_hours,daily_unlocks,notifications_per_day,addiction_level
5.12,0.74,6.28,188,81,Low
7.14,1.33,4.36,200,103,Medium
1.75,5.3,7.08,189,107,Low
1.76,6.1,5.0,199,129,Medium
6.45,7.13,5.27,298,185,High
0.74,1.42,6.5,135,48,Low
6.46,7.43,2.47,270,153,High
6.64,6.38,6.75,300,139,High
5.64,0.94,6.48,203,102,Low
0.81,3.14,7.02,120,77,Low
2.96,2.49,6.15,231,78,Low
1.37,7.43,4.8,227,162,Medium
7.92,6.58,3.84,281,187,High
1.83,0.8,5.0,109,83,Low
1.69,9.46,6.63,228,160,High
7.32,4.86,4.78,260,159,High
4.49,3.0,4.04,159,97,Medium
7.98,5.34,6.17,287,157,High
0.88,6.46,6.59,159,149,Low
7.97,5.53,6.11,341,149,High
0.09,7.35,5.64,157,135,Medium
0.89,4.63,8.16,91,124,Low
7.01,3.0,5.25,230,155,Medium
2.39,6.57,4.84,201,133,Medium
6.1,5.62,6.09,219,165,High
0.16,9.33,6.05,263,136,Medium
2.46,1.05,8.74,82,94,Low
0.55,7.73,6.88,205,135,Medium
3.8,5.72,5.82,283,125,Medium
4.31,7.43,6.21,263,177,High
7.96,6.67,4.2,313,180,High
2.7,6.09,6.71,214,150,Medium
0.57,6.5,6.64,250,135,Medium
1.9,6.86,5.77,214,152,Medium
7.48,5.92,3.59,289,163,High
0.78,4.59,5.73,130,119,Low
5.83,6.9,6.27,269,147,High
6.89,2.86,6.65,238,139,Medium
3.38,3.15,6.35,245,67,Low
4.4,0.98,7.3,217,83,Low
7.75,9.3,5.72,321,186,High
3.21,1.06,6.65,80,118,Low
2.12,7.95,4.78,239,219,High
4.45,7.32,4.78,270,173,High
7.75,6.0,3.7,273,185,High
4.02,8.6,6.3,311,215,High
0.64,2.27,5.22,98,81,Low
7.12,2.84,6.61,194,104,Medium
3.35,6.04,3.29,210,148,High
1.91,4.26,8.21,160,95,Low
2.53,7.64,7.18,247,220,Medium
0.59,2.52,6.65,119,129,Low
7.05,8.85,4.93,331,207,High
4.89,9.88,3.9,299,190,High
6.54,3.34,4.54,167,129,Medium
0.86,5.76,6.78,173,150,Low
5.74,2.43,5.56,185,64,Medium
6.77,1.38,6.37,180,107,Low
0.03,7.83,5.6,180,142,Medium
3.42,0.59,5.08,195,93,Low
7.23,5.68,6.51,239,160,High
2.47,9.04,6.35,269,132,High
7.19,2.5,6.03,239,123,Medium
3.25,6.4,3.59,263,181,High
6.92,9.77,6.25,272,234,High
2.66,9.34,6.1,279,137,High
6.49,3.03,6.18,208,146,Medium
1.78,8.26,4.29,205,162,High
6.36,2.66,6.88,218,94,Medium
7.74,3.15,8.03,224,110,Medium
7.85,5.59,6.21,276,168,High
7.7,3.02,5.79,265,138,Medium
5.83,3.48,4.94,197,101,Medium
2.04,7.23,7.11,287,147,Medium
4.31,7.33,5.75,209,154,High
5.31,3.64,6.45,191,155,Medium
5.76,3.35,5.64,245,105,Medium
1.02,4.49,7.03,204,97,Low
7.22,6.35,5.17,319,178,High
3.44,6.01,6.06,202,120,Medium
3.54,2.53,3.85,181,101,Low
0.68,5.4,5.69,153,104,Low
6.55,7.64,5.18,273,175,High
1.96,5.01,6.56,191,113,Low
3.32,6.48,6.65,270,129,Medium
5.25,0.55,6.45,167,48,Low
0.85,4.54,7.82,228,102,Low
1.99,8.56,5.9,186,172,Medium
5.34,9.88,3.05,266,216,High
